metric,value
fill_mb_s,126.35491327610428
fill_mb_s_std,44.843394297546226
write_amp,0.5
write_amp_std,0.0
fill_tail_p99,5506.233312189579
fill_tail_p99_std,5967.168420638333
mt_hr,88.89375
mt_hr_std,3.0404756515223132
mt_tput_mb,20.760223739513897
mt_tput_mb_std,7.271441222878734
mt_p99,12321.100026989976
mt_p99_std,9476.457583684762
cold_p99,110.66673323512077
cold_p99_std,113.61711760184158
no_ckpt_recovery,0.0
no_ckpt_recovery_std,0.0
with_ckpt_recovery,0.98
with_ckpt_recovery_std,0.0
mp_1gb_hr,99.98333333333333
mp_1gb_hr_std,0.028867513459479646
mp_1gb_p99,6.533383081356685
mp_1gb_p99_std,5.9475938021529835
mp_128mb_hr,99.96666666666667
mp_128mb_hr_std,0.028867513459479646
mp_128mb_p99,35.60003824532032
mp_128mb_p99_std,36.57107478487368
